platform,backend,variant,device,mode,dataset,n_images,mean_latency_ms,std_latency_ms,fps,mean_f1,mean_iou,avg_predictions,load_time_s
Arc_B60,openvino,int8_ptq_gpu,CPU,canvas,Candies,11,4326.580533366227,74.29749846653773,0.23112940861451292,0.9913131313131313,0.9382801371338918,20.272727272727273,3.7563238280126825
Arc_B60,openvino,int8_ptq_gpu,CPU,canvas,Potatoes,9,4253.367601777427,133.05135101054987,0.23510782364122795,1.0,0.9822822539545528,8.0,3.693517755018547
Arc_B60,openvino,int8_ptq_gpu,CPU,text,Candies,12,4099.086573260138,60.530546670009656,0.2439567894280084,0.9920370370370369,0.9432825858411406,20.5,3.656578934052959
Arc_B60,openvino,int8_ptq_gpu,CPU,text,Potatoes,10,4123.901482496876,73.29193634557396,0.24248881896047028,1.0,0.9846478948935438,8.0,3.656566012999974
Arc_B60,openvino,int8_ptq_gpu,GPU,canvas,Candies,11,907.0452575529503,45.64546252595165,1.1024808207451802,0.9913131313131313,0.7763031345023491,20.272727272727273,7.39556671900209
Arc_B60,openvino,int8_ptq_gpu,GPU,canvas,LED,14,695.3232361452787,11.496559949314857,1.4381800406150431,0.756943056943057,0.684656956316707,6.5,7.500857420032844
Arc_B60,openvino,int8_ptq_gpu,GPU,canvas,LVIS-banana_book,54,666.8734133493638,14.637164252024046,1.4995349641808509,0.08294336090035015,0.09498684485013585,0.6481481481481481,7.00121127802413
Arc_B60,openvino,int8_ptq_gpu,GPU,canvas,Nuts,20,650.8895017963368,20.37619417853043,1.5363590858973475,0.8831349206349207,0.8089993567170947,3.1,7.423100320040248
Arc_B60,openvino,int8_ptq_gpu,GPU,canvas,Potatoes,9,803.9452325319871,128.21320979895015,1.2438658251017272,1.0,0.9181926842151302,8.0,7.309737163013779
Arc_B60,openvino,int8_ptq_gpu,GPU,text,Candies,12,628.7386779731605,13.330738896525782,1.590485896658465,0.9920370370370369,0.767197714952121,20.5,8.435711116995662
Arc_B60,openvino,int8_ptq_gpu,GPU,text,LED,15,645.3564174706116,16.813005775879308,1.5495313487690516,0.0,0.0,0.0,7.229244446964003
Arc_B60,openvino,int8_ptq_gpu,GPU,text,LVIS-banana_book,55,831.8108116530559,12.06046534630786,1.2021964441802602,0.5871114800667214,0.7133110944589978,7.890909090909091,7.69262752996292
Arc_B60,openvino,int8_ptq_gpu,GPU,text,Nuts,21,680.424215915125,14.651895944271967,1.4696713853063958,0.6429138321995465,0.8376936786615561,6.333333333333333,7.50390414102003
Arc_B60,openvino,int8_ptq_gpu,GPU,text,Potatoes,10,650.8942289859988,21.782534560661617,1.5363479279234948,1.0,0.9114443529833413,8.0,13.0807635380188
Arc_B60,openvino,int8_sym,CPU,text,Candies,12,5256.999637659949,79.95397101867609,0.19022257350680177,0.9920370370370369,0.9446495758388705,20.5,2.844846141990274
Arc_B60,openvino,int8_sym,CPU,text,LED,15,5236.092573334463,57.57830941285082,0.19098210850828737,0.0,0.0,0.0,2.823498755984474
Arc_B60,openvino,int8_sym,CPU,text,Nuts,21,5983.560975580032,27.20685523197039,0.16712456078933202,0.6961895869458894,0.9714349539728643,6.523809523809524,2.7852531319949776
Arc_B60,openvino,int8_sym,CPU,text,Potatoes,10,5438.882893597474,220.58176598575773,0.18386128540792385,1.0,0.984887094267498,8.0,4.801695154979825
Arc_B60,openvino,int8_sym,CPU,visual_exemplar,Candies,11,5183.544525448021,82.28326021597674,0.19291818466892954,0.9913131313131313,0.9456250362771776,20.272727272727273,2.876876930007711
Arc_B60,openvino,int8_sym,CPU,visual_exemplar,LED,14,5205.152873785534,48.79798117728018,0.19211731609963903,0.9920634920634921,0.835631563890316,4.071428571428571,2.984021793003194
Arc_B60,openvino,int8_sym,CPU,visual_exemplar,Nuts,20,5199.291471502511,64.09380666374709,0.1923338988554562,0.9761904761904763,0.9715643409507037,3.55,2.905055095034186
Arc_B60,openvino,int8_sym,CPU,visual_exemplar,Potatoes,9,5303.305503899335,168.47868619465333,0.18856164316099364,1.0,0.9856108052575903,8.0,2.8540867199772038
Arc_B60,openvino,int8_sym,GPU,canvas,Candies,11,745.2515353427523,42.245418729490304,1.3418288357367625,0.9913131313131313,0.8756016258000099,20.272727272727273,4.506524328025989
Arc_B60,openvino,int8_sym,GPU,canvas,LED,14,540.8812757814303,13.660427117747792,1.848834568279822,0.7240220097362954,0.7364432252299887,7.0,4.591205106000416
Arc_B60,openvino,int8_sym,GPU,canvas,Nuts,20,464.3365038908087,17.252726508553852,2.1536105639352354,0.8805555555555555,0.8777441556964731,3.1,4.53151817608159
Arc_B60,openvino,int8_sym,GPU,canvas,Potatoes,9,640.157543342664,124.30090342320366,1.5621154673556963,1.0,0.9551948262210672,8.0,6.758362918975763
